feature,importance
distance_traveled_km,0.6011733646864389
vehicle_type_truck,0.3260751206622735
fuel_per_km,0.06641238333273265
vehicle_type_van,0.005407513819841872
idle_time_minutes,0.00048607134688363757
fuel_efficiency_l_per_km,0.0003385338533079329
speed,2.676259541888899e-05
hour_of_day,1.9938623553662546e-05
vehicle_age_years,1.7734572447382817e-05
idle_ratio,1.570299315886381e-05
day_of_week,1.33423491371149e-05
optimized_x_experience,1.0401234746011028e-05
optimized_route_flag,3.1299300596212895e-06
