speed,distance_traveled_km,idle_time_minutes,vehicle_age_years,fuel_efficiency_l_per_km,optimized_route_flag,fuel_per_km,idle_ratio,optimized_x_experience,hour_of_day,day_of_week,vehicle_type_truck,vehicle_type_van,actual_fuel,predicted_fuel
91.83,51.1,5.2,9.0,0.17,1.0,0.17259936204770945,0.10175926107121191,6.0,9.0,0.0,0.0,1.0,,8.8211
84.01,54.6,6.0,9.0,0.1,0.0,0.10182963681983846,0.10988809728759547,0.0,2.0,6.0,0.0,0.0,6.22,5.549500000000003
112.48,36.1,1.4,7.0,0.09,1.0,0.09141021024348356,0.03878008919420514,3.0,22.0,4.0,0.0,0.0,,3.3047000000000004
64.6,38.4,2.7,11.0,0.08,1.0,0.07734173589229448,0.07031066899299498,17.0,16.0,3.0,0.0,0.0,,3.007599999999999
115.19,58.9,2.3,8.0,0.1,0.0,0.09575389212407259,0.03904857302932038,0.0,14.0,2.0,0.0,0.0,,5.643199999999997
41.98,15.0,7.8,10.0,0.12,1.0,0.11865875608292781,0.5199653356442904,14.0,4.0,2.0,0.0,0.0,,1.7787000000000013
99.97,54.5,1.3,0.0,0.13,0.0,0.13265811636483735,0.023852773343608375,0.0,23.0,0.0,0.0,1.0,,7.251000000000001
39.22,6.9,5.6,5.0,0.4,1.0,0.3970439066801913,0.8114765975945514,11.0,23.0,0.0,1.0,0.0,3.67,2.7371999999999996
96.93,67.5,2.0,1.0,0.4,1.0,0.3962904253270322,0.02962919067865661,11.0,15.0,0.0,1.0,0.0,,26.66759999999999
53.17,6.4,6.6,10.0,0.12,1.0,0.12341821590376503,1.0310888923605686,4.0,5.0,0.0,0.0,0.0,,0.7887000000000002
38.54,13.4,6.3,0.0,0.1,0.0,0.09551526005521976,0.47011417058428473,0.0,14.0,5.0,0.0,0.0,,1.2794000000000008
109.31,45.7,1.0,3.0,0.09,1.0,0.09212052252685937,0.021881359270037856,15.0,13.0,6.0,0.0,0.0,,4.214099999999998
100.08,39.1,1.6,2.0,0.09,0.0,0.08644280197437405,0.040919669573668195,0.0,1.0,4.0,0.0,0.0,,3.375500000000002
121.97,60.0,1.5,4.0,0.09,1.0,0.09466508891518474,0.024999583340277663,10.0,18.0,5.0,0.0,0.0,,5.686
94.06,30.2,2.4,8.0,0.09,0.0,0.0946988510314228,0.07946756729909606,0.0,9.0,6.0,0.0,0.0,,2.8693000000000013
115.05,46.9,2.8,11.0,0.37,1.0,0.3746188780623015,0.059700219611522144,16.0,19.0,0.0,1.0,0.0,,17.552999999999997
109.02,24.1,1.9,0.0,0.14,1.0,0.13733869963901912,0.07883490311605326,20.0,6.0,0.0,0.0,1.0,,3.3319000000000027
110.44,61.5,2.1,10.0,0.37,0.0,0.3661729077575974,0.034145786247378095,0.0,23.0,0.0,1.0,0.0,8.79,22.48190000000001
31.13,18.4,13.6,8.0,0.48,0.0,0.48366936579533726,0.7390902668333242,0.0,6.0,6.0,1.0,0.0,,8.856300000000001
