speed,distance_traveled_km,idle_time_minutes,vehicle_age_years,fuel_efficiency_l_per_km,optimized_route_flag,fuel_per_km,idle_ratio,optimized_x_experience,hour_of_day,day_of_week,vehicle_type_truck,vehicle_type_van,actual_fuel,predicted_fuel
43.56,9.3,11.1,9.0,0.43,0.0,0.43436189657026125,1.193420062358886,0.0,15.0,1.0,1.0,0.0,9.59,4.033200000000003
23.79,13.2,6.7,9.0,0.46,0.0,0.4575410953715628,0.5075373077797137,0.0,0.0,2.0,1.0,0.0,,6.043700000000001
110.03,20.5,2.9,5.0,0.33,1.0,0.33120335593385686,0.1414565143163748,12.0,17.0,4.0,1.0,0.0,,6.7867
50.85,12.9,6.4,6.0,0.1,0.0,0.10386791721571972,0.49608557476164644,0.0,21.0,1.0,0.0,0.0,,1.334199999999999
55.91,16.8,7.5,12.0,0.36,1.0,0.35712159990476755,0.4464019998809594,7.0,14.0,3.0,1.0,0.0,2.77,6.019900000000002
72.56,42.3,3.9,12.0,0.15,1.0,0.15460627408335503,0.09219640197631263,17.0,7.0,4.0,0.0,1.0,,6.5394999999999985
42.4,31.4,7.8,8.0,0.1,0.0,0.10127066017005829,0.24839973249259578,0.0,19.0,1.0,0.0,0.0,,3.1817000000000006
63.12,17.0,2.9,9.0,0.09,1.0,0.0899947061937533,0.1705782012822775,4.0,16.0,3.0,0.0,0.0,2.49,1.5281000000000011
103.33,24.5,1.3,11.0,0.1,1.0,0.09917962532141546,0.05305905881392596,2.0,16.0,5.0,0.0,0.0,,2.4257
53.3,15.2,6.0,1.0,0.09,1.0,0.09275705545687785,0.39471087428458657,14.0,12.0,2.0,0.0,0.0,,1.411999999999999
43.74,15.5,3.6,9.0,0.1,1.0,0.09547771111541191,0.23224308109154249,16.0,23.0,3.0,0.0,0.0,,1.479499999999999
49.34,10.8,11.0,5.0,0.12,0.0,0.12313674659753727,1.0184242199796314,0.0,20.0,5.0,0.0,0.0,1.98,1.3299999999999994
44.15,9.0,11.0,8.0,0.21,0.0,0.2066437062548606,1.2220864348405733,0.0,20.0,2.0,0.0,1.0,,1.8588
30.36,14.9,10.9,5.0,0.12,0.0,0.11878397422991746,0.7314945305684183,0.0,16.0,4.0,0.0,0.0,,1.7707000000000006
94.89,36.9,4.4,4.0,0.1,1.0,0.1018942576081949,0.1192379610308664,7.0,11.0,1.0,0.0,0.0,,3.7515999999999976
121.45,38.4,5.2,8.0,0.41,0.0,0.4078018801593709,0.13541314028280516,0.0,12.0,2.0,1.0,0.0,,15.571000000000002
37.23,11.7,11.4,1.0,0.19,0.0,0.19400051277668579,0.9742757029313736,0.0,6.0,0.0,0.0,1.0,,2.275700000000001
100.08,54.0,1.7,1.0,0.09,1.0,0.09222051443491788,0.031480898501879594,7.0,14.0,3.0,0.0,0.0,,4.987700000000003
69.32,16.2,3.3,9.0,0.31,1.0,0.30553669526572436,0.20369113017714954,8.0,14.0,6.0,1.0,0.0,,4.954000000000004
